"cluster","module","GeneScoreMatrix_mean_score","n_markers_used"
"C20","RPE",0.205895235892692,4
"C21","RPE",0.216009615384615,4
"C22","RPE",0.235183407079646,4
"C23","RPE",0.252734352256186,4
"C24","RPE",0.26364876690533,4
"C3","RPE",0.201861940298507,4
"C4","RPE",0.244479216923362,4
"C5","RPE",0.249942850114792,4
"C6","RPE",0.220534552845528,4
"C7","RPE",0.243218844754397,4
"C8","RPE",0.230803042121685,4
"C9","RPE",0.28,4
"C1","Astrocyte",0.217094871794872,5
"C10","Astrocyte",0.227250777202073,5
"C11","Astrocyte",0.204993045563549,5
"C12","Astrocyte",0.22355652173913,5
"C13","Astrocyte",0.202049237472767,5
"C14","Astrocyte",0.226358095238095,5
"C15","Astrocyte",0.221465,5
"C16","Astrocyte",0.227757450199203,5
"C17","Astrocyte",0.164756894049347,5
"C18","Astrocyte",0.161331316187595,5
"C19","Astrocyte",0.159725613234455,5
"C2","Astrocyte",0.215690547263682,5
"C20","Astrocyte",0.188913228492137,5
"C21","Astrocyte",0.2192125,5
"C22","Astrocyte",0.224793982300885,5
"C23","Astrocyte",0.17982037845706,5
"C24","Astrocyte",0.204388703261734,5
"C3","Astrocyte",0.277594029850746,5
"C4","Astrocyte",0.238475004639079,5
"C5","Astrocyte",0.235147589373565,5
"C6","Astrocyte",0.212562601626016,5
"C7","Astrocyte",0.230268890236507,5
"C8","Astrocyte",0.229324024960998,5
"C9","Astrocyte",0.225409756097561,5
"C1","Microglia",0.240253205128205,4
"C10","Microglia",0.165593264248705,4
"C11","Microglia",0.183040467625899,4
"C12","Microglia",0.218005928853755,4
"C13","Microglia",0.189660130718954,4
"C14","Microglia",0.162819047619048,4
"C15","Microglia",0.247270833333333,4
"C16","Microglia",0.168271513944223,4
"C17","Microglia",0.465898222060958,4
"C18","Microglia",0.487605900151286,4
"C19","Microglia",0.424309612093554,4
"C2","Microglia",0.173300165837479,4
"C20","Microglia",0.202665124884366,4
"C21","Microglia",0.1925390625,4
"C22","Microglia",0.205180973451328,4
"C23","Microglia",0.314713245997089,4
"C24","Microglia",0.305206841686555,4
"C3","Microglia",0.1475,4
"C4","Microglia",0.143006448320653,4
"C5","Microglia",0.128219662184323,4
"C6","Microglia",0.168369918699187,4
"C7","Microglia",0.114951864766525,4
"C8","Microglia",0.129676287051482,4
"C9","Microglia",0.279039634146341,4
"C1","Endothelial",0.382738247863248,4
"C10","Endothelial",0.388348445595855,4
"C11","Endothelial",0.359482613908873,4
"C12","Endothelial",0.285386363636364,4
"C13","Endothelial",0.357897058823529,4
"C14","Endothelial",0.375290476190476,4
"C15","Endothelial",0.37458125,4
"C16","Endothelial",0.356477290836653,4
"C17","Endothelial",0.302745827285922,4
"C18","Endothelial",0.245626323751891,4
"C19","Endothelial",0.276834141471763,4
"C2","Endothelial",0.349907131011609,4
"C20","Endothelial",0.519540009250694,4
"C21","Endothelial",0.533322716346154,4
"C22","Endothelial",0.340412389380531,4
"C23","Endothelial",0.422856622998544,4
"C24","Endothelial",0.362910103420843,4
"C3","Endothelial",0.335347014925373,4
"C4","Endothelial",0.43834987938393,4
"C5","Endothelial",0.398765168907839,4
"C6","Endothelial",0.369723577235772,4
"C7","Endothelial",0.359480518496058,4
"C8","Endothelial",0.392347601404056,4
"C9","Endothelial",0.248884146341463,4
"C1","Activated_MG",0.368241452991453,8
"C10","Activated_MG",0.271020077720207,8
"C11","Activated_MG",0.240251348920863,8
"C12","Activated_MG",0.273069169960474,8
"C13","Activated_MG",0.253121187363834,8
"C14","Activated_MG",0.246862797619048,8
"C15","Activated_MG",0.284435416666667,8
"C16","Activated_MG",0.246586055776892,8
"C17","Activated_MG",0.270174437590711,8
"C18","Activated_MG",0.319481372919818,8
"C19","Activated_MG",0.228030019965773,8
"C2","Activated_MG",0.316599295190713,8
"C20","Activated_MG",0.256587303422757,8
"C21","Activated_MG",0.281583233173077,8
"C22","Activated_MG",0.288883407079646,8
"C23","Activated_MG",0.257413027656477,8
"C24","Activated_MG",0.27830091487669,8
"C3","Activated_MG",0.338660447761194,8
"C4","Activated_MG",0.3362558916311,8
"C5","Activated_MG",0.325407469662184,8
"C6","Activated_MG",0.304990853658537,8
"C7","Activated_MG",0.348694852941176,8
"C8","Activated_MG",0.34589381825273,8
"C9","Activated_MG",0.252780487804878,8
"C1","Proliferation",0.616423076923077,5
"C10","Proliferation",0.32700829015544,5
"C11","Proliferation",0.295104076738609,5
"C12","Proliferation",0.345324110671937,5
"C13","Proliferation",0.347917647058823,5
"C14","Proliferation",0.399552380952381,5
"C15","Proliferation",0.44038,5
"C16","Proliferation",0.355413864541833,5
"C17","Proliferation",0.406365892597968,5
"C18","Proliferation",0.369125416036309,5
"C19","Proliferation",0.373611637193383,5
"C2","Proliferation",0.543932006633499,5
"C20","Proliferation",0.36700185013876,5
"C21","Proliferation",0.386062980769231,5
"C22","Proliferation",0.602739115044248,5
"C23","Proliferation",0.399680058224163,5
"C24","Proliferation",0.412859506762132,5
"C3","Proliferation",0.508829850746269,5
"C4","Proliferation",0.584458229727222,5
"C5","Proliferation",0.478288094457199,5
"C6","Proliferation",0.570611382113821,5
"C7","Proliferation",0.635372346876895,5
"C8","Proliferation",0.642713026521061,5
"C9","Proliferation",0.327265853658537,5
"C1","Neurogenic_TF",0.616526115859449,9
"C10","Neurogenic_TF",0.733875071963155,9
"C11","Neurogenic_TF",0.436333333333333,9
"C12","Neurogenic_TF",0.454731225296443,9
"C13","Neurogenic_TF",0.487703461631566,9
"C14","Neurogenic_TF",0.48910582010582,9
"C15","Neurogenic_TF",1.0586212962963,9
"C16","Neurogenic_TF",0.635290659583887,9
"C17","Neurogenic_TF",1.22049096919852,9
"C18","Neurogenic_TF",0.991878887207934,9
"C19","Neurogenic_TF",1.09184781644166,9
"C2","Neurogenic_TF",0.791466740372213,9
"C20","Neurogenic_TF",0.911147702744373,9
"C21","Neurogenic_TF",1.01345806623932,9
"C22","Neurogenic_TF",1.62969626352016,9
"C23","Neurogenic_TF",1.33428141678797,9
"C24","Neurogenic_TF",1.4890634668081,9
"C3","Neurogenic_TF",0.880950248756219,9
"C4","Neurogenic_TF",0.72264406919445,9
"C5","Neurogenic_TF",0.926429284647061,9
"C6","Neurogenic_TF",0.779290876242096,9
"C7","Neurogenic_TF",0.907399636143117,9
"C8","Neurogenic_TF",0.851091133645346,9
