"group","TH1_n_cells","TH1_percent","TH2_n_cells","TH2_percent","delta_percent_TH2_minus_TH1","ratio_percent_TH2_over_TH1"
"G1",1919,26.9522471910112,2279,29.6166341780377,2.66438698702645,1.09885583818462
"S",2572,36.123595505618,2885,37.491877842755,1.36828233713705,1.03787780031266
"G2M",2629,36.9241573033708,2531,32.8914879792073,-4.03266932416351,0.890785068132202
