"cluster","sample_id","n_cells","cluster_setting","reducedDims","dimsToUse","resolution"
"C23","TH1",188,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C24","TH1",118,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C25","TH1",161,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C3","TH1",195,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C4","TH1",348,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C5","TH1",183,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C6","TH1",274,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C7","TH1",267,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C8","TH1",59,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C9","TH1",377,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C1","TH2",462,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C10","TH2",89,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C11","TH2",573,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C12","TH2",808,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C13","TH2",938,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C14","TH2",404,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C15","TH2",101,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C16","TH2",539,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C17","TH2",2789,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C18","TH2",1400,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C19","TH2",2535,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C2","TH2",76,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C20","TH2",1069,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C21","TH2",275,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C22","TH2",332,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C23","TH2",71,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C24","TH2",229,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C25","TH2",135,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C3","TH2",284,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C4","TH2",325,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C5","TH2",87,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C6","TH2",238,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C7","TH2",166,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C8","TH2",28,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C9","TH2",267,"Clusters_LSI_RNA_d30_res12","LSI_RNA",30,1.2
"C1","TH1",1139,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C10","TH1",4512,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C11","TH1",1587,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C12","TH1",374,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C2","TH1",703,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C3","TH1",401,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C4","TH1",1362,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C5","TH1",854,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C6","TH1",669,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C7","TH1",1241,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C8","TH1",138,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C9","TH1",767,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C1","TH2",896,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C10","TH2",3234,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C11","TH2",1837,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C12","TH2",1269,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C2","TH2",1252,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C3","TH2",639,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C4","TH2",1301,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C5","TH2",550,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C6","TH2",565,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C7","TH2",1003,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C8","TH2",227,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
"C9","TH2",1447,"Clusters_LSI_Combined_d30_res12","LSI_Combined",30,1.2
