"stage","sample_id","group","n_cells","sample_total","proportion","percent"
"tentative_celltype","TH1","AC",3186,14260,0.223422159887798,22.3422159887798
"tentative_celltype","TH1","BC",5168,14260,0.362412342215989,36.2412342215989
"tentative_celltype","TH1","MG",5479,14260,0.38422159887798,38.422159887798
"tentative_celltype","TH1","RGC",427,14260,0.0299438990182328,2.99438990182328
"tentative_celltype","TH2","AC",2846,14602,0.194904807560608,19.4904807560608
"tentative_celltype","TH2","BC",5538,14602,0.37926311464183,37.926311464183
"tentative_celltype","TH2","MG",5919,14602,0.405355430762909,40.5355430762909
"tentative_celltype","TH2","RGC",299,14602,0.0204766470346528,2.04766470346528
