"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C11","Gex_Log10_nUMI",1274,3.4913375436529,3.48230176722344,0.144063957390418,3.28148788794008,3.39759243403812,3.56626066218561,3.75051505614832
"C12","Gex_Log10_nUMI",1337,3.45196985207605,3.44544851426605,0.11882745275294,3.2678281772236,3.37235958252432,3.51969676715985,3.65328937907475
"C13","Gex_Log10_nUMI",1704,3.41017309856061,3.39767934508228,0.12715573236906,3.22634208716363,3.32633586092875,3.47129171105894,3.65281181158724
"C14","Gex_Log10_nUMI",6259,3.65678440754323,3.64305768375145,0.151989901598712,3.43328968519503,3.5551549268522,3.73996769675951,3.93981843118594
"C15","Gex_Log10_nUMI",1132,3.68794361791132,3.6581545444467,0.178515602145227,3.42358986497017,3.55918818900478,3.81725085223174,3.99304097174393
"C16","Gex_Log10_nUMI",475,3.70376151135251,3.67237497874608,0.215136742664797,3.42003020425782,3.54419209304885,3.8301709710144,4.12684036006514
"C17","Gex_Log10_nUMI",437,3.41145401896792,3.40483371661994,0.120843416194711,3.21864040708626,3.33000770087276,3.48770386316373,3.59549171020113
"C18","Gex_Log10_nUMI",512,3.48463127347287,3.47421626407626,0.129718139418295,3.28319299186977,3.40671035845267,3.55126685447709,3.72528221963824
"C19","Gex_Log10_nUMI",4598,3.50449838223191,3.49422418134189,0.132144140953988,3.31151015748658,3.41751320481553,3.57191253856605,3.76253977651497
"C2","Gex_Log10_nUMI",1064,4.1077150504168,4.12093541262063,0.160372376992399,3.85674333623515,4.02135456538089,4.21479749939108,4.3402447667423
"C20","Gex_Log10_nUMI",3113,3.45827360461798,3.44731310882357,0.125736362713293,3.27558768191568,3.37694175714676,3.51890857369141,3.7021891762038
"C21","Gex_Log10_nUMI",1115,3.45340977952463,3.45163294745699,0.113962459608999,3.27861638309436,3.37921475616536,3.51712988571631,3.64057985293973
"C22","Gex_Log10_nUMI",1145,3.48463672169158,3.47856649559384,0.117786045531544,3.31171135659507,3.40534636017571,3.55132798800385,3.68957507052228
"C23","Gex_Log10_nUMI",1033,3.89041972825602,3.88332067838298,0.160895592574681,3.64759226547522,3.78632543439007,3.98726395412224,4.15504588677657
"C24","Gex_Log10_nUMI",1526,3.80809944910929,3.79671297467793,0.152505401220476,3.58433122436753,3.7095667343392,3.89549145940579,4.08221908471272
"C25","Gex_Log10_nUMI",766,3.85874806467219,3.85147229765371,0.160100717045576,3.61781255070104,3.75145232393202,3.9547365756319,4.15124324762845
"C3","Gex_Log10_nUMI",117,3.96047422118538,3.96161090809128,0.179058855920455,3.66529803514132,3.84279639517558,4.07939833901986,4.25189949192252
"C4","Gex_Log10_nUMI",253,3.97207983405765,3.96468381497604,0.147401868460742,3.7597274300069,3.86793865089078,4.06807448990765,4.21508912575076
"C5","Gex_Log10_nUMI",763,3.63996878688966,3.62991903550354,0.13683095382423,3.44136495939657,3.54746698316164,3.71432975974523,3.87452597177571
"C6","Gex_Log10_nUMI",464,3.72534881782886,3.71775254608618,0.129397652433616,3.54449473417492,3.64870138271668,3.79019716038577,3.94981918692332
"C7","Gex_Log10_nUMI",204,3.96917400354054,3.96220234816771,0.136387068957055,3.75609806349508,3.88304589903681,4.04996347366083,4.20863952556198
"C8","Gex_Log10_nUMI",413,3.75913442856335,3.74834310448755,0.131804024770834,3.55842054101892,3.68250608593901,3.81663894489846,4.00074607017586
"C9","Gex_Log10_nUMI",262,3.7257458316228,3.71658757767569,0.13022940247607,3.53340342155661,3.6507193512461,3.79624454559414,3.92859222709104
"C1","Gex_Log10_nGenes",1160,3.25490516882453,3.25090769970086,0.0806801043065221,3.12999584679827,3.20432349460346,3.2973227142053,3.38686443778961
"C10","Gex_Log10_nGenes",407,3.40206167725608,3.39984671271292,0.0769365938047061,3.28082806516445,3.36116083057128,3.44357585159221,3.52064056561569
"C11","Gex_Log10_nGenes",1274,3.25457834658353,3.24870873560092,0.102263191579519,3.10515210905982,3.18871759294,3.30642502755069,3.4450978508271
"C12","Gex_Log10_nGenes",1337,3.20771333255388,3.20330491613848,0.0829726937140119,3.08314414314305,3.15503222879097,3.25212455250564,3.35941794952328
"C13","Gex_Log10_nGenes",1704,3.17709635259463,3.16598579749762,0.0908685247438463,3.05126823148719,3.11793383503964,3.2137832993353,3.3594748104969
"C14","Gex_Log10_nGenes",6259,3.39353961805373,3.38381536598043,0.101214059474626,3.24674470972384,3.32654066851656,3.44669246637153,3.58311937975357
"C15","Gex_Log10_nGenes",1132,3.41889097981354,3.39941409673664,0.119153168465203,3.24328614608345,3.3329935891162,3.51245081745451,3.62487995113121
"C16","Gex_Log10_nGenes",475,3.42989816441668,3.41614103116833,0.136368020019208,3.23610755464031,3.33455425901709,3.51020977190996,3.69418170892762
"C17","Gex_Log10_nGenes",437,3.24836037308988,3.24723654950676,0.0877971827446916,3.10883550688042,3.19200959265367,3.30749603791321,3.38417413880703
"C18","Gex_Log10_nGenes",512,3.26619153163776,3.25959387888595,0.0917167803751776,3.12663456840092,3.21530700985084,3.30797712236842,3.45020266100829
"C19","Gex_Log10_nGenes",4598,3.28506790467358,3.27737997466725,0.0931919966635263,3.15014216184856,3.22582599146189,3.32899085544943,3.47567118832443
"C2","Gex_Log10_nGenes",1064,3.66682425507858,3.67910976066681,0.0975814208634998,3.51500568847506,3.60860625051183,3.73393895217174,3.80399282399975
"C20","Gex_Log10_nGenes",3113,3.25095774351037,3.24129738710999,0.0895616975611405,3.12077126305106,3.19534605834842,3.29003461136252,3.43527086458951
"C21","Gex_Log10_nGenes",1115,3.23727042680899,3.23527587668705,0.0796602890933596,3.11769990915892,3.18695633546541,3.27898211686544,3.36353673668576
