"stage","sample_id","group","n_cells","sample_total","proportion","percent"
"manual_celltype","TH1","AC",1319,14260,0.0924964936886395,9.24964936886395
"manual_celltype","TH1","Cone",726,14260,0.0509116409537167,5.09116409537167
"manual_celltype","TH1","HC",80,14260,0.00561009817671809,0.561009817671809
"manual_celltype","TH1","nPRC",1453,14260,0.101893408134642,10.1893408134642
"manual_celltype","TH1","Pre-AC",787,14260,0.0551893408134642,5.51893408134642
"manual_celltype","TH1","Pre-Rod",1354,14260,0.0949509116409537,9.49509116409537
"manual_celltype","TH1","pRPC",7120,14260,0.49929873772791,49.929873772791
"manual_celltype","TH1","RGC",622,14260,0.0436185133239832,4.36185133239832
"manual_celltype","TH1","Rod",650,14260,0.0455820476858345,4.55820476858345
"manual_celltype","TH1","Starburst AC",149,14260,0.0104488078541374,1.04488078541374
"manual_celltype","TH2","AC",1113,14602,0.076222435282838,7.6222435282838
"manual_celltype","TH2","Cone",543,14602,0.037186686755239,3.7186686755239
"manual_celltype","TH2","HC",33,14602,0.00225996438843994,0.225996438843994
"manual_celltype","TH2","nPRC",1125,14602,0.077044240514998,7.7044240514998
"manual_celltype","TH2","Pre-AC",575,14602,0.0393781673743323,3.93781673743323
"manual_celltype","TH2","Pre-Rod",2004,14602,0.137241473770716,13.7241473770716
"manual_celltype","TH2","pRPC",7695,14602,0.526982605122586,52.6982605122586
"manual_celltype","TH2","RGC",447,14602,0.0306122448979592,3.06122448979592
"manual_celltype","TH2","Rod",971,14602,0.0664977400356116,6.64977400356116
"manual_celltype","TH2","Starburst AC",96,14602,0.00657444185727982,0.657444185727982
