"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C6","Gex_Log10_nUMI",5952,3.51467040101302,3.50181211169153,0.137503953206259,3.31449922797315,3.42455497660671,3.5842181121174,3.78628260557691
"C7","Gex_Log10_nUMI",1598,3.90030346664083,3.89616783094811,0.162279429665289,3.66738286770591,3.79633141146836,4.00054248846525,4.16781272672378
"C8","Gex_Log10_nUMI",1521,3.51972026975503,3.51401618040065,0.122828328614451,3.32837960343874,3.43949059038968,3.58849580100721,3.71841864182966
"C9","Gex_Log10_nUMI",1854,3.8071610598381,3.79716361776534,0.154960693066565,3.57798554394592,3.70859082022847,3.89438529458489,4.07915019401505
"C1","Gex_Log10_nGenes",181,3.3407456906058,3.31910605930978,0.153011927891929,3.0884904701824,3.23401081758718,3.4437322414016,3.58961454063127
"C10","Gex_Log10_nGenes",33,3.35040581676753,3.36379994547911,0.0884705144955843,3.22776819186944,3.28802553538836,3.40397796366935,3.46249172243104
"C11","Gex_Log10_nGenes",1257,3.43338342180708,3.41396997174806,0.123415466931206,3.247433118443,3.34163233577805,3.53019969820308,3.64119592700972
"C12","Gex_Log10_nGenes",1848,3.25273515486737,3.24637544654756,0.0862035191191076,3.12733149947867,3.19748729939656,3.29650064322018,3.41305619670385
"C13","Gex_Log10_nGenes",1792,3.20685411398595,3.19948091486236,0.0874677017169517,3.07796680730718,3.14983469671578,3.25121221989154,3.37607461835392
"C14","Gex_Log10_nGenes",1226,3.25900955878229,3.25127309660773,0.107992070407796,3.1083112482144,3.18963058971433,3.30856441356124,3.45727610671526
"C15","Gex_Log10_nGenes",1345,3.1737057710236,3.16256440652302,0.0907927742815843,3.04750825461742,3.11461098423217,3.21138755293686,3.35376229397909
"C16","Gex_Log10_nGenes",113,3.58044309272299,3.59006123080374,0.113977378675496,3.40125665254878,3.5009222391903,3.65243974758942,3.75263191997968
"C17","Gex_Log10_nGenes",349,3.7188602161145,3.73495976127245,0.0978467522074605,3.56466591899555,3.69222983577276,3.77224833997185,3.82270401821223
"C18","Gex_Log10_nGenes",718,3.64161578165933,3.640829105318,0.0870943532744109,3.51041476454323,3.59187119718027,3.70137367306746,3.77498014616312
"C19","Gex_Log10_nGenes",254,3.5651347648906,3.55858851678932,0.0976110534353339,3.42644608270535,3.49457138386031,3.63576006497283,3.72625257868201
"C2","Gex_Log10_nGenes",140,3.46241382874936,3.44731266598185,0.139842151712173,3.25031476937282,3.36365805440141,3.55918813942101,3.71234897871237
"C20","Gex_Log10_nGenes",1227,3.35692600453741,3.35487642251623,0.0926649814057756,3.21500263946842,3.29896216821856,3.40730589869906,3.51990644426387
"C21","Gex_Log10_nGenes",255,3.40156614699956,3.3981136917305,0.080505559365524,3.26629742713081,3.35698123317006,3.4533183131244,3.53748814496711
"C22","Gex_Log10_nGenes",421,3.42075632418937,3.41580772763554,0.0825094358828217,3.29225607135648,3.37346372163237,3.463295609962,3.57310378316399
"C23","Gex_Log10_nGenes",389,3.39556502917146,3.39602489660859,0.0743285435846567,3.27792942518148,3.35659943572497,3.4401216031878,3.50157681621996
"C3","Gex_Log10_nGenes",2497,3.25812883359874,3.24674470972384,0.0951898085157692,3.12535104244325,3.1978316933289,3.29710365014926,3.46594759677271
"C4","Gex_Log10_nGenes",1157,3.24764010368118,3.24129738710999,0.0896635285053529,3.11193427633268,3.19089171692217,3.29622628726116,3.39044029969436
"C5","Gex_Log10_nGenes",5620,3.39986181442781,3.38987455839099,0.101503495378418,3.25188145455253,3.33324569896196,3.45301239112146,3.59151537045559
"C6","Gex_Log10_nGenes",5952,3.29211305487759,3.28262211287806,0.0970678743412765,3.15259407792747,3.22968184231768,3.3392526340327,3.49145954804652
"C7","Gex_Log10_nGenes",1598,3.55156315854268,3.55077851426753,0.101784766055118,3.3980615763899,3.48724442167198,3.61676424497116,3.71612850058451
"C8","Gex_Log10_nGenes",1521,3.25050790970376,3.24699069924155,0.0812699824220329,3.12580645813953,3.19893186993221,3.29292029960001,3.38632057389405
"C9","Gex_Log10_nGenes",1854,3.50533972993686,3.50051091052634,0.0973797114371925,3.35937993678051,3.44361497016309,3.56038487362452,3.67342181979807
"C1","Gex_MitoPercent",181,0,0,0,0,0,0,0
"C10","Gex_MitoPercent",33,0,0,0,0,0,0,0
"C11","Gex_MitoPercent",1257,0,0,0,0,0,0,0
"C12","Gex_MitoPercent",1848,0,0,0,0,0,0,0
"C13","Gex_MitoPercent",1792,0,0,0,0,0,0,0
"C14","Gex_MitoPercent",1226,0,0,0,0,0,0,0
"C15","Gex_MitoPercent",1345,0,0,0,0,0,0,0
"C16","Gex_MitoPercent",113,0,0,0,0,0,0,0
"C17","Gex_MitoPercent",349,0,0,0,0,0,0,0
"C18","Gex_MitoPercent",718,0,0,0,0,0,0,0
"C19","Gex_MitoPercent",254,0,0,0,0,0,0,0
"C2","Gex_MitoPercent",140,0,0,0,0,0,0,0
"C20","Gex_MitoPercent",1227,0,0,0,0,0,0,0
"C21","Gex_MitoPercent",255,0,0,0,0,0,0,0
"C22","Gex_MitoPercent",421,0,0,0,0,0,0,0
"C23","Gex_MitoPercent",389,0,0,0,0,0,0,0
"C3","Gex_MitoPercent",2497,0,0,0,0,0,0,0
"C4","Gex_MitoPercent",1157,0,0,0,0,0,0,0
"C5","Gex_MitoPercent",5620,0,0,0,0,0,0,0
"C6","Gex_MitoPercent",5952,0,0,0,0,0,0,0
"C7","Gex_MitoPercent",1598,0,0,0,0,0,0,0
"C8","Gex_MitoPercent",1521,0,0,0,0,0,0,0
"C9","Gex_MitoPercent",1854,0,0,0,0,0,0,0
"C1","Gex_RiboPercent",181,0,0,0,0,0,0,0
"C10","Gex_RiboPercent",33,0,0,0,0,0,0,0
"C11","Gex_RiboPercent",1257,0,0,0,0,0,0,0
"C12","Gex_RiboPercent",1848,0,0,0,0,0,0,0
"C13","Gex_RiboPercent",1792,0,0,0,0,0,0,0
"C14","Gex_RiboPercent",1226,0,0,0,0,0,0,0
"C15","Gex_RiboPercent",1345,0,0,0,0,0,0,0
"C16","Gex_RiboPercent",113,0,0,0,0,0,0,0
"C17","Gex_RiboPercent",349,0,0,0,0,0,0,0
"C18","Gex_RiboPercent",718,0,0,0,0,0,0,0
"C19","Gex_RiboPercent",254,0,0,0,0,0,0,0
"C2","Gex_RiboPercent",140,0,0,0,0,0,0,0
"C20","Gex_RiboPercent",1227,0,0,0,0,0,0,0
"C21","Gex_RiboPercent",255,0,0,0,0,0,0,0
"C22","Gex_RiboPercent",421,0,0,0,0,0,0,0
"C23","Gex_RiboPercent",389,0,0,0,0,0,0,0
"C3","Gex_RiboPercent",2497,0,0,0,0,0,0,0
"C4","Gex_RiboPercent",1157,0,0,0,0,0,0,0
"C5","Gex_RiboPercent",5620,0,0,0,0,0,0,0
"C6","Gex_RiboPercent",5952,0,0,0,0,0,0,0
"C7","Gex_RiboPercent",1598,0,0,0,0,0,0,0
"C8","Gex_RiboPercent",1521,0,0,0,0,0,0,0
"C9","Gex_RiboPercent",1854,0,0,0,0,0,0,0
