"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C15","log10_nFrags",1345,3.72894771907935,3.76996780132944,0.310176963174513,3.16613397030511,3.50051091052634,3.97455774485358,4.16276746771523
"C16","log10_nFrags",113,3.9269174191419,3.92132224358382,0.423026053896558,3.18734969948307,3.60021030640933,4.30704653521802,4.54460620760825
"C17","log10_nFrags",349,4.28584176844122,4.39042283192348,0.38620024752587,3.48216492145886,4.11776829492637,4.56838948649184,4.71257257001482
"C18","log10_nFrags",718,4.12131123882753,4.18116758143401,0.332938361441042,3.41232185207359,3.97246812882649,4.35369012972998,4.54399013215916
"C19","log10_nFrags",254,4.07919252631114,4.14423885562563,0.37364901756869,3.35328877869839,3.84284509079436,4.34150839970657,4.59025079637579
"C2","log10_nFrags",140,3.92630937733412,3.95918449556207,0.330499422717384,3.33777970145867,3.73380472165914,4.17852110871051,4.38171452369833
"C20","log10_nFrags",1227,3.90048323496061,3.94384062640126,0.322437784691128,3.26871644436664,3.70624567928222,4.14227993296368,4.33463667839795
"C21","log10_nFrags",255,3.89473509154739,3.97215653585949,0.326887850861534,3.24789788614345,3.69783740368205,4.15272955420629,4.31284277097466
"C22","log10_nFrags",421,3.9142193241879,3.96416531062174,0.316181546612004,3.28012289630231,3.71982828625433,4.15606431233987,4.34006716613295
"C23","log10_nFrags",389,3.89174561508039,3.9527440240149,0.311754529450516,3.29633780901732,3.68015414173437,4.14288980543904,4.30083760192812
"C3","log10_nFrags",2497,3.83049861339175,3.8718647020882,0.324073231119404,3.21720907155237,3.62086447526512,4.0782755220866,4.28261758036132
"C4","log10_nFrags",1157,3.91810890214848,3.99064958831885,0.311109653353871,3.25652322865309,3.78682237949919,4.13293174921492,4.28653725387918
"C5","log10_nFrags",5620,3.87978566461951,3.91954864573939,0.373609355276093,3.21057264965121,3.60290062025257,4.16798156224037,4.43338655791649
