"sample_id","n_cells","mean_expression","median_expression","percent_detected","wilcox_p_value_TH2_vs_TH1"
"TH1",14260,0.541204928587233,0,16.0729312762973,0
"TH2",14602,0.0177698919399194,0,0.575263662511985,0
