"matrix","module","gene","present","total_counts_or_score","fraction_cells_detected"
"GeneScoreMatrix","Microglia","Hexb",TRUE,6798.71800000002,0.259048099032979
"GeneScoreMatrix","Microglia","Trem2",TRUE,2428.984,0.0728887768923048
"GeneScoreMatrix","Endothelial","Cldn5",TRUE,23294.022,0.48149431442341
"GeneScoreMatrix","Endothelial","Flt1",TRUE,13644.0580000001,0.437049170000315
"GeneScoreMatrix","Endothelial","Pecam1",TRUE,12319.831,0.439411597946263
"GeneScoreMatrix","Endothelial","Ly6c1",TRUE,1870.572,0.0680694238825716
"GeneScoreMatrix","Endothelial","Ptprb",TRUE,9047.34100000001,0.343182032947995
"GeneScoreMatrix","Pericyte","Kcnj8",TRUE,6214.26999999999,0.203924780294201
"GeneScoreMatrix","Pericyte","Acta2",TRUE,2145.898,0.0767001606451003
"GeneScoreMatrix","Pericyte","Pdgfra",TRUE,10088.678,0.316691340914102
"GeneScoreMatrix","Activated_MG","Gfap",TRUE,7042.62100000002,0.181276971052383
"GeneScoreMatrix","Activated_MG","Vim",TRUE,15082.459,0.324849592087441
"GeneScoreMatrix","Activated_MG","Lcn2",TRUE,3355.479,0.0566667716634643
"GeneScoreMatrix","Activated_MG","Stat3",TRUE,15795.342,0.471981604561061
"GeneScoreMatrix","Activated_MG","Socs3",TRUE,25432.408,0.348095883075566
"GeneScoreMatrix","Activated_MG","Cxcl10",TRUE,2835.42200000001,0.0520364128894069
"GeneScoreMatrix","Activated_MG","Ccl2",TRUE,1149.929,0.0221438246133493
"GeneScoreMatrix","Activated_MG","Serpina3n",TRUE,6664.30500000001,0.286609758402369
"GeneScoreMatrix","Proliferation","Cdk1",TRUE,15871.0759999999,0.481368318266293
"GeneScoreMatrix","Proliferation","Mki67",TRUE,15907.791,0.46164991967745
"GeneScoreMatrix","Proliferation","Top2a",TRUE,8776.78699999998,0.284940309320566
"GeneScoreMatrix","Proliferation","Pcna",TRUE,25506.915,0.360254512237377
"GeneScoreMatrix","Proliferation","Mcm5",TRUE,12439.955,0.346457933033043
"GeneScoreMatrix","Neurogenic_TF","Ascl1",TRUE,44757.5209999997,0.579361829464201
"GeneScoreMatrix","Neurogenic_TF","Neurog2",TRUE,41326.597,0.536869625476423
"GeneScoreMatrix","Neurogenic_TF","Insm1",TRUE,53089.4480000002,0.519828645226321
"GeneScoreMatrix","Neurogenic_TF","Atoh7",TRUE,15591.335,0.244653038082338
"GeneScoreMatrix","Neurogenic_TF","Neurod1",TRUE,28910.7,0.426748984155983
"GeneScoreMatrix","Neurogenic_TF","Otx2",TRUE,15526.805,0.329668945097175
"GeneScoreMatrix","Neurogenic_TF","Crx",TRUE,15525.493,0.292626074904715
"GeneScoreMatrix","Neurogenic_TF","Olig2",TRUE,30173.2209999999,0.488361104986298
"GeneScoreMatrix","Neurogenic_TF","Foxn4",TRUE,20732.192,0.423851072542287
"GeneScoreMatrix","Neurogenic_Progenitor","Ascl1",TRUE,44757.5209999997,0.579361829464201
"GeneScoreMatrix","Neurogenic_Progenitor","Neurog2",TRUE,41326.597,0.536869625476423
"GeneScoreMatrix","Neurogenic_Progenitor","Neurod1",TRUE,28910.7,0.426748984155983
"GeneScoreMatrix","Neurogenic_Progenitor","Atoh7",TRUE,15591.335,0.244653038082338
"GeneScoreMatrix","Neurogenic_Progenitor","Sox2",TRUE,48480.4730000001,0.591898447097364
"GeneScoreMatrix","Neurogenic_Progenitor","Hes1",TRUE,58391.231,0.623113995023152
"GeneScoreMatrix","Neurogenic_Progenitor","Hes5",TRUE,60031.0410000004,0.502787664976218
"GeneScoreMatrix","Neurogenic_Progenitor","Insm1",TRUE,53089.4480000002,0.519828645226321
"GeneScoreMatrix","Neurogenic_Progenitor","Prdm1",TRUE,23774.0619999999,0.571802060037169
"GeneScoreMatrix","Neurogenic_Progenitor","Otx2",TRUE,15526.805,0.329668945097175
