"setting","value"
"review_cluster_col","Clusters_Combined_highres_r1p4"
"review_resolution","1.4"
"removed_clusters","C7,C8,C9"
"final_combined_cluster_resolution","1"
"atac_lsi_recomputed","TRUE"
"rna_lsi_recomputed","TRUE"
"combined_lsi_recomputed","TRUE"
"note","Cells assigned to high-resolution combined clusters C7, C8, and C9 at resolution 1.4 were removed as likely doublets, then ATAC/RNA/combined embeddings and clusters were recomputed at final combined resolution 1.0."
