sample_id	fragment_path	feature_matrix_h5	day	genotype	condition
TH1	Sample_15585-TH-1/atac_fragments.tsv.gz	Sample_15585-TH-1/filtered_feature_bc_matrix.h5	Day0	Chx10Cre	Control
TH2	Sample_15585-TH-2/atac_fragments.tsv.gz	Sample_15585-TH-2/filtered_feature_bc_matrix.h5	Day0	Chx10Cre_Insm1_KO	KO
