"config_id","cluster","n_cells","UMAP_1","UMAP_2"
"dims01_30_nn30_md04","C1",1679,6.96279884544888,-2.22518173031079
"dims01_30_nn30_md04","C10",343,1.82434714413016,3.2231631558343
"dims01_30_nn30_md04","C11",726,6.37833999220628,5.39145280618136
"dims01_30_nn30_md04","C12",3417,-6.14170169648775,-1.19448228338972
"dims01_30_nn30_md04","C13",2305,-5.25043550816403,-1.56340194518131
"dims01_30_nn30_md04","C14",708,-3.53724105376685,0.034234011253699
"dims01_30_nn30_md04","C15",5609,-4.74084127101375,-0.79526635387231
"dims01_30_nn30_md04","C16",2776,-2.96196421391634,-1.0133329072437
"dims01_30_nn30_md04","C17",1362,2.96397161794166,3.39965531807701
"dims01_30_nn30_md04","C18",1357,0.957871999121004,-0.0672832173941142
"dims01_30_nn30_md04","C19",529,-0.387925836740057,-0.0111160962246582
"dims01_30_nn30_md04","C2",1269,9.98096231342303,-3.56073990780387
"dims01_30_nn30_md04","C20",692,1.05014806193843,-1.09931971040091
"dims01_30_nn30_md04","C21",1679,3.47357957969578,-0.586984375365428
"dims01_30_nn30_md04","C3",1621,9.48483729909652,-3.22693488006479
"dims01_30_nn30_md04","C4",1376,4.62347783291044,7.22521534117559
"dims01_30_nn30_md04","C5",414,5.31398778457353,8.31577548629676
"dims01_30_nn30_md04","C6",256,5.71626730234885,7.69145459229617
"dims01_30_nn30_md04","C7",386,5.37352529416282,8.23312442051746
"dims01_30_nn30_md04","C8",113,4.03483745068876,5.44275799418309
"dims01_30_nn30_md04","C9",245,4.78820095764141,5.98719792605925
"dims02_30_nn30_md04","C1",1679,7.16768355368773,-1.47656953484441
"dims02_30_nn30_md04","C10",343,0.192228790987678,1.9284748475537
"dims02_30_nn30_md04","C11",726,6.20257155844121,6.71368730750626
"dims02_30_nn30_md04","C12",3417,-5.97360712292907,-1.84076807672935
"dims02_30_nn30_md04","C13",2305,-5.05181109205181,-2.14232033887452
"dims02_30_nn30_md04","C14",708,-3.59342505089495,-0.429068164284927
"dims02_30_nn30_md04","C15",5609,-4.63243456471808,-1.32807922081891
"dims02_30_nn30_md04","C16",2776,-2.85071757988555,-1.38441531821154
"dims02_30_nn30_md04","C17",1362,2.68265079666439,3.84218029792127
"dims02_30_nn30_md04","C18",1357,0.973317610207633,0.0781353001847566
"dims02_30_nn30_md04","C19",529,-0.364032827134297,-0.0832592185749587
"dims02_30_nn30_md04","C2",1269,10.205606445965,-2.84920162301392
"dims02_30_nn30_md04","C20",692,1.24043114677495,-0.958848488597194
"dims02_30_nn30_md04","C21",1679,3.55183766940752,-0.0640568667683526
"dims02_30_nn30_md04","C3",1621,9.71783844074039,-2.48553650727005
"dims02_30_nn30_md04","C4",1376,3.95100750299149,8.0082190281378
"dims02_30_nn30_md04","C5",414,4.3984886948447,9.17005776355402
"dims02_30_nn30_md04","C6",256,4.93572348728104,8.72861550020314
"dims02_30_nn30_md04","C7",386,4.48714553567493,9.10866638790188
"dims02_30_nn30_md04","C8",113,3.11701477970256,5.93164581193231
"dims02_30_nn30_md04","C9",245,4.00391914823694,6.74242402459318
"dims01_20_nn30_md04","C1",1679,6.77232204954451,-3.20664798993588
"dims01_20_nn30_md04","C10",343,0.389137100317212,2.27916463499267
"dims01_20_nn30_md04","C11",726,5.91301059682744,6.0718321377915
"dims01_20_nn30_md04","C12",3417,-5.9481405388096,-0.716014453290228
"dims01_20_nn30_md04","C13",2305,-5.07216820617159,-1.08026133404893
"dims01_20_nn30_md04","C14",708,-3.38237389859449,0.545838245666482
"dims01_20_nn30_md04","C15",5609,-4.47475116821217,-0.355710380561966
"dims01_20_nn30_md04","C16",2776,-2.67136406232273,-0.629696350313338
"dims01_20_nn30_md04","C17",1362,2.66492024504157,3.39967617049551
"dims01_20_nn30_md04","C18",1357,1.4312410305615,-0.014803295315326
"dims01_20_nn30_md04","C19",529,0.0111044064925686,0.212113016062157
"dims01_20_nn30_md04","C2",1269,9.1234495322037,-5.46206990157484
"dims01_20_nn30_md04","C20",692,1.49995365201241,-1.06913155515776
"dims01_20_nn30_md04","C21",1679,3.8020218620162,-0.746262837843195
"dims01_20_nn30_md04","C3",1621,8.85933464995674,-5.09403960686662
"dims01_20_nn30_md04","C4",1376,4.12426779925751,7.33714665986608
"dims01_20_nn30_md04","C5",414,4.71119366125617,8.47560179210098
"dims01_20_nn30_md04","C6",256,5.19914224932028,7.87546569073475
"dims01_20_nn30_md04","C7",386,4.79290952734214,8.40321909894765
"dims01_20_nn30_md04","C8",113,3.39671780147853,5.4869653941766
"dims01_20_nn30_md04","C9",245,4.0824965018743,5.96728170019514
"dims01_40_nn30_md04","C1",1679,5.53446346312001,-6.25855228765138
"dims01_40_nn30_md04","C10",343,-9.00646188047573,-2.53054089956749
"dims01_40_nn30_md04","C11",726,-10.5184404979358,-3.24379103952353
"dims01_40_nn30_md04","C12",3417,1.70485428643839,6.25193600195205
"dims01_40_nn30_md04","C13",2305,3.58378855509047,5.19633110028148
"dims01_40_nn30_md04","C14",708,-4.63428814297536,2.19966869475952
"dims01_40_nn30_md04","C15",5609,-1.89271991275231,4.71583937255422
"dims01_40_nn30_md04","C16",2776,-3.19449724168981,2.07932902592423
"dims01_40_nn30_md04","C17",1362,-1.73561183684762,-5.12525149052577
"dims01_40_nn30_md04","C18",1357,2.05936512137721,1.62788138550032
"dims01_40_nn30_md04","C19",529,-0.424610097855154,1.22113169659707
"dims01_40_nn30_md04","C2",1269,8.6017307581308,-10.3655416231574
"dims01_40_nn30_md04","C20",692,0.805797821291243,-0.451238537200283
"dims01_40_nn30_md04","C21",1679,1.70429730566513,-3.11159304795341
"dims01_40_nn30_md04","C3",1621,9.20800828025851,-7.29166475161592
"dims01_40_nn30_md04","C4",1376,-5.7786524571502,-7.48491586012278
