"gene","group","log2FC_TH2_vs_TH1","statistic","auc","p_value","padj","mean_expression_TH1","mean_expression_TH2","pct_detected_TH1","pct_detected_TH2","max_pct_detected","delta_pct_detected_TH2_minus_TH1","direction","celltype_output_label","manual_celltype","n_cells_TH1","n_cells_TH2"
"Glcci1","TH2",2.556306718412,951898,0.582334174504856,7.71855388026172e-14,5.91078731356885e-12,3.99659654232193,6.55290326073393,0.527873365450791,0.633777777777778,0.633777777777778,0.105904412326986,"Higher in TH2","nRPC","nPRC",1453,1125
"Agpat3","TH2",0.449958541368671,937341,0.57342876806607,9.47107832711117e-14,7.19872632549457e-12,0.789697459835925,1.2396560012046,0.302133516861666,0.437333333333333,0.437333333333333,0.135199816471668,"Higher in TH2","nRPC","nPRC",1453,1125
"Thsd7a","TH2",1.6005313888974,944561,0.577845683260687,9.5543594550936e-14,7.20823341112062e-12,1.76784161319208,3.36837300208948,0.397109428768066,0.512,0.512,0.114890571231934,"Higher in TH2","nRPC","nPRC",1453,1125
"Bora","TH2",-0.668021298732058,700821,0.428735030970406,9.84635526264286e-14,7.37390649632482e-12,1.3866116110356,0.718590312303541,0.380591878871301,0.261333333333333,0.380591878871301,-0.119258545537967,"Higher in TH1","nRPC","nPRC",1453,1125
"Jam3","TH2",0.869868279474032,955537,0.584560373174275,1.00527974588157e-13,7.47355781883488e-12,3.03534084695854,3.90520912643258,0.692360633172746,0.801777777777778,0.801777777777778,0.109417144605032,"Higher in TH2","nRPC","nPRC",1453,1125
"Tmem223","TH2",0.308674844671123,927352,0.567317886365374,1.71213285388436e-13,1.26362848672552e-11,0.538561082502372,0.847235927173496,0.226428079834824,0.360888888888889,0.360888888888889,0.134460809054064,"Higher in TH2","nRPC","nPRC",1453,1125
"Clcn3","TH2",0.631986880183865,950768.5,0.581643190334175,2.00196091538052e-13,1.46690445490292e-11,1.90935613904707,2.54134301923093,0.551273227804542,0.676444444444444,0.676444444444444,0.125171216639902,"Higher in TH2","nRPC","nPRC",1453,1125
"Rdh10","TH2",0.378969587867957,922982.5,0.564644796207081,2.35276325865871e-13,1.71163527067421e-11,0.487925881382617,0.866895469250574,0.205092911218169,0.327111111111111,0.327111111111111,0.122018199892942,"Higher in TH2","nRPC","nPRC",1453,1125
"Srrm4","TH2",-1.9427541657472,681020.5,0.416621855165558,3.45348161222656e-13,2.47702184651602e-11,8.48510398919327,6.54234982344607,0.912594631796284,0.878222222222222,0.912594631796284,-0.0343724095740613,"Higher in TH1","nRPC","nPRC",1453,1125
"Rxylt1","TH2",0.358867831509736,929543.5,0.568658560831995,3.54236750308335e-13,2.52300790341985e-11,0.642891907507866,1.0017597390176,0.256710254645561,0.389333333333333,0.389333333333333,0.132623078687772,"Higher in TH2","nRPC","nPRC",1453,1125
"Tln2","TH2",0.357445753468824,923364,0.564878183069511,3.63380489143194e-13,2.57015991800238e-11,0.571039258087426,0.92848501155625,0.209910529938059,0.340444444444444,0.340444444444444,0.130533914506385,"Higher in TH2","nRPC","nPRC",1453,1125
"Rplp1","TH2",0.980183731945057,952628,0.582780760113176,4.27564796595368e-13,2.99422537171162e-11,3.61278944777006,4.59297317971511,0.76668960770819,0.853333333333333,0.853333333333333,0.0866437256251434,"Higher in TH2","nRPC","nPRC",1453,1125
"Lgmn","TH2",0.341686043091628,916733.5,0.560821901047641,4.29216400854096e-13,2.99422537171162e-11,0.38534195580292,0.727027998894548,0.174122505161734,0.292444444444444,0.292444444444444,0.11832193928271,"Higher in TH2","nRPC","nPRC",1453,1125
"Atf7ip","TH2",0.982963769802376,951796.5,0.582272080752466,4.80948393656207e-13,3.30976985769491e-11,3.30928473795793,4.2922485077603,0.717136958017894,0.796444444444444,0.796444444444444,0.0793074864265504,"Higher in TH2","nRPC","nPRC",1453,1125
"Hes6","TH2",-1.30707851336436,682471,0.417509214651679,5.51062066568337e-13,3.76682358926075e-11,6.06239947092989,4.75532095756553,0.858912594631796,0.791111111111111,0.858912594631796,-0.0678014835206852,"Higher in TH1","nRPC","nPRC",1453,1125
"Cadm2","TH2",3.58822609152568,949162.5,0.580660701995871,6.24341279268226e-13,4.23927728623126e-11,13.5872333925342,17.1754594840599,0.592567102546456,0.716444444444444,0.716444444444444,0.123877341897989,"Higher in TH2","nRPC","nPRC",1453,1125
"Mtss1","TH2",0.539982755991963,936133,0.572689760648467,7.62978226195537e-13,5.14631339986857e-11,1.05791112626394,1.5978938822559,0.336545079146593,0.478222222222222,0.478222222222222,0.141677143075629,"Higher in TH2","nRPC","nPRC",1453,1125
"Diaph3","TH2",-1.35457046792243,685699,0.419483979506003,7.7017933461913e-13,5.16070823887884e-11,4.52466009066328,3.17008962274085,0.690984170681349,0.616,0.690984170681349,-0.074984170681349,"Higher in TH1","nRPC","nPRC",1453,1125
"Fth1","TH2",0.471730895956654,937374.5,0.573449262063164,8.680493680598e-13,5.70392439592842e-11,1.01579219476158,1.48752309071823,0.355815554026153,0.497777777777778,0.497777777777778,0.141962223751625,"Higher in TH2","nRPC","nPRC",1453,1125
"Spock1","TH2",-0.360360681275333,743010,0.454544620325763,8.62726848758643e-13,5.70392439592842e-11,0.574259199220823,0.21389851794549,0.154163799036476,0.0648888888888889,0.154163799036476,-0.0892749101475874,"Higher in TH1","nRPC","nPRC",1453,1125
"Camk2d","TH2",0.852227737091764,947069.5,0.579380285998318,9.22764451583143e-13,6.02458714062456e-11,2.3203338669924,3.17256160408416,0.551273227804542,0.680888888888889,0.680888888888889,0.129615661084347,"Higher in TH2","nRPC","nPRC",1453,1125
"Cacna2d3","TH2",-0.824514515647017,702611,0.429830083352451,9.28991004764469e-13,6.02660725065358e-11,1.74331962151503,0.918805105868014,0.408809359944941,0.290666666666667,0.408809359944941,-0.118142693278275,"Higher in TH1","nRPC","nPRC",1453,1125
"Ndfip1","TH2",0.955963174743606,950090.5,0.581228416303433,1.03490289002998e-12,6.67119362971857e-11,3.47741006731859,4.4333732420622,0.729525120440468,0.829333333333333,0.829333333333333,0.0998082128928653,"Higher in TH2","nRPC","nPRC",1453,1125
"Rps29","TH2",0.874899129833496,950272.5,0.58133975682496,1.04793356274181e-12,6.7127065009593e-11,3.3291902140131,4.20408934384659,0.74741913282863,0.858666666666667,0.858666666666667,0.111247533838036,"Higher in TH2","nRPC","nPRC",1453,1125
"Agbl4","TH2",-1.73172406211636,686904.5,0.420221457520838,1.08211521758674e-12,6.88833968195057e-11,4.87512923494484,3.14340517282848,0.676531314521679,0.602666666666667,0.676531314521679,-0.0738646478550126,"Higher in TH1","nRPC","nPRC",1453,1125
"Frmd5","TH2",-1.38788933350265,685747,0.419513344039153,1.17646190141482e-12,7.44240028938503e-11,5.11016579186857,3.72227645836593,0.741913282863042,0.664888888888889,0.741913282863042,-0.0770243939741532,"Higher in TH1","nRPC","nPRC",1453,1125
"Robo1","TH2",1.45175866555146,947713,0.579773954270857,1.67583167067138e-12,1.04713776477227e-10,5.6878575879801,7.13961625353156,0.64280798348245,0.76,0.76,0.11719201651755,"Higher in TH2","nRPC","nPRC",1453,1125
"Tanc1","TH2",0.542083638424347,941294,0.575847059723178,1.6675467393865e-12,1.04713776477227e-10,1.55201563420977,2.09409927263412,0.439091534755678,0.587555555555556,0.587555555555556,0.148464020799878,"Higher in TH2","nRPC","nPRC",1453,1125
"Sybu","TH2",0.55889345276927,938531.5,0.574157069664296,1.70044153581507e-12,1.05603640501686e-10,1.49618311732366,2.05507657009293,0.393668272539573,0.538666666666667,0.538666666666667,0.144998394127093,"Higher in TH2","nRPC","nPRC",1453,1125
"Galnt13","TH2",2.84742810152569,948894,0.580496444138564,2.1677346563928e-12,1.33808348335519e-10,13.3463332282828,16.1937613298085,0.882312456985547,0.933333333333333,0.933333333333333,0.0510208763477862,"Higher in TH2","nRPC","nPRC",1453,1125
"Rpl37a","TH2",0.850263260614796,948128.5,0.580028141010935,2.40298744645025e-12,1.46553455940694e-10,3.46217269447685,4.31243595509165,0.753613214039917,0.852444444444444,0.852444444444444,0.098831230404527,"Higher in TH2","nRPC","nPRC",1453,1125
"Ryr3","TH2",0.62959061111405,901756.5,0.551659554943794,2.69273364122695e-12,1.63246976999384e-10,0.619830231606197,1.24942084272025,0.119752236751549,0.220444444444444,0.220444444444444,0.100692207692896,"Higher in TH2","nRPC","nPRC",1453,1125
"Ephb1","TH2",0.467241380573803,923361,0.56487634778619,2.91966809215516e-12,1.7595751194438e-10,0.830331817460178,1.29757319803398,0.243633860977288,0.372444444444444,0.372444444444444,0.128810583467156,"Higher in TH2","nRPC","nPRC",1453,1125
"Pik3r1","TH2",1.94800521266719,946506.5,0.579035864494915,3.78722878873242e-12,2.2689956007788e-10,5.5355804430344,7.48358565570159,0.712319339298004,0.807111111111111,0.807111111111111,0.0947917718131069,"Higher in TH2","nRPC","nPRC",1453,1125
"Rps21","TH2",0.608743122838724,945841,0.578628737478015,3.90579085623843e-12,2.32634385209289e-10,2.67442058149374,3.28316370433247,0.656572608396421,0.784,0.784,0.127427391603579,"Higher in TH2","nRPC","nPRC",1453,1125
"Hmgn2","TH2",-0.764952985019586,689140,0.42158904947618,4.14865887665544e-12,2.45663317783347e-10,3.12370841416207,2.35875542914248,0.730901582931865,0.661333333333333,0.730901582931865,-0.0695682495985318,"Higher in TH1","nRPC","nPRC",1453,1125
