"gene","group","log2FC_TH2_vs_TH1","statistic","auc","p_value","padj","mean_expression_TH1","mean_expression_TH2","pct_detected_TH1","pct_detected_TH2","max_pct_detected","delta_pct_detected_TH2_minus_TH1","direction","celltype_output_label","manual_celltype","n_cells_TH1","n_cells_TH2"
"Pde3a","TH2",0.384970706766624,29584489.5,0.539977248833695,6.74219364880764e-22,2.44814155040768e-20,1.82758054572038,2.21255125248701,0.34311797752809,0.42261208576998,0.42261208576998,0.0794941082418906,"Higher in TH2","pRPC","pRPC",7120,7695
"Pkp4","TH2",0.829189669547852,29877335,0.545322276248257,7.03891709646682e-22,2.54574168322217e-20,5.33351845230683,6.16270812185468,0.73061797752809,0.789213775178687,0.789213775178687,0.0585957976505975,"Higher in TH2","pRPC","pRPC",7120,7695
"Rorb","TH2",-5.12974565893322,24895659,0.454396532842719,7.50240659406399e-22,2.70264560072329e-20,65.2488850775798,60.1191394186465,0.996769662921348,0.997270955165692,0.997270955165692,0.000501292244343698,"Higher in TH1","pRPC","pRPC",7120,7695
"Hnrnph1","TH2",-0.781983981923623,24912565.5,0.454705110935892,1.31211364598386e-21,4.67510928800109e-20,7.39475549716673,6.6127715152431,0.89747191011236,0.873554256010396,0.89747191011236,-0.0239176541019632,"Higher in TH1","pRPC","pRPC",7120,7695
"Selenof","TH2",0.39631348830708,29698446.5,0.542057196413839,1.31317531021317e-21,4.67510928800109e-20,1.63516476136963,2.03147824967671,0.448595505617978,0.512540610786225,0.512540610786225,0.0639451051682473,"Higher in TH2","pRPC","pRPC",7120,7695
"Rpl27a","TH2",0.496897752104479,29831218,0.544480546977097,1.36516942837154e-21,4.84130512458296e-20,3.28454808633792,3.7814458384424,0.639466292134831,0.696296296296296,0.696296296296296,0.0568300041614649,"Higher in TH2","pRPC","pRPC",7120,7695
"Ndfip1","TH2",0.512081890147614,29821290,0.54429934073636,1.38421916780548e-21,4.88983468813144e-20,3.00301471160307,3.51509660175069,0.614606741573034,0.677842755035738,0.677842755035738,0.0632360134627038,"Higher in TH2","pRPC","pRPC",7120,7695
"Frmd5","TH2",-0.785257184552425,25019330.5,0.456653789853327,1.67974916837245e-21,5.91090112762415e-20,4.06839012484216,3.28313294028974,0.59873595505618,0.539441195581546,0.59873595505618,-0.0592947594746334,"Higher in TH1","pRPC","pRPC",7120,7695
"Yeats2","TH2",0.366624638305238,29688352,0.54187295120865,1.76435089262476e-21,6.16103219746439e-20,1.77001782803971,2.13664246634495,0.442134831460674,0.5137102014295,0.5137102014295,0.0715753699688255,"Higher in TH2","pRPC","pRPC",7120,7695
"Rps20","TH2",0.599954850967515,29824972.5,0.544366553869067,1.9759852816057e-21,6.87371368570777e-20,3.250173037941,3.85012788890852,0.651685393258427,0.702014294996751,0.702014294996751,0.0503289017383242,"Higher in TH2","pRPC","pRPC",7120,7695
"Nrxn1","TH2",0.257032931416775,28786011,0.525403388308474,2.14702178051358e-21,7.44028764547557e-20,0.457940713442453,0.714973644859228,0.0932584269662921,0.143859649122807,0.143859649122807,0.0506012221565149,"Higher in TH2","pRPC","pRPC",7120,7695
"Astn1","TH2",-0.373198049959394,25488690.5,0.465220566762307,2.15876740969076e-21,7.45265385300061e-20,1.26220188988132,0.889003839921921,0.294241573033708,0.228719948018194,0.294241573033708,-0.0655216250155142,"Higher in TH1","pRPC","pRPC",7120,7695
"Fat3","TH2",-1.36411319976157,24928796.5,0.455001359776887,2.21575163868248e-21,7.62051337168005e-20,10.1758952391309,8.81178203936932,0.864466292134832,0.841585445094217,0.864466292134832,-0.0228808470406144,"Higher in TH1","pRPC","pRPC",7120,7695
"Atf7ip","TH2",0.553596656411318,29771940,0.543398602623913,2.66139465396927e-21,9.11877852491578e-20,2.82629955266638,3.3798962090777,0.55688202247191,0.620012995451592,0.620012995451592,0.0631309729796818,"Higher in TH2","pRPC","pRPC",7120,7695
"Ano3","TH2",0.449995164055136,28456841.5,0.519395373838258,3.77434098837747e-21,1.28355760328628e-19,0.328181393936498,0.778176557991634,0.0470505617977528,0.0851202079272255,0.0851202079272255,0.0380696461294727,"Higher in TH2","pRPC","pRPC",7120,7695
"Spast","TH2",0.306887924841086,29425706,0.537079126238401,3.92206640170485e-21,1.3288369213806e-19,0.998040999319208,1.30492892416029,0.28497191011236,0.35217673814165,0.35217673814165,0.0672048280292908,"Higher in TH2","pRPC","pRPC",7120,7695
"Galnt13","TH2",2.15468412729102,29845905.5,0.544748623796278,4.23948492546644e-21,1.42578101884506e-19,23.9634679723792,26.1181520996703,0.977808988764045,0.979987004548408,0.979987004548408,0.00217801578436305,"Higher in TH2","pRPC","pRPC",7120,7695
"Khdrbs2","TH2",-0.718445139037808,25194646,0.459853655153281,5.30905742789432e-21,1.77316404875569e-19,2.85245257388705,2.13400743484925,0.455758426966292,0.394671864847303,0.455758426966292,-0.0610865621189887,"Higher in TH1","pRPC","pRPC",7120,7695
"Kifc1","TH2",-0.309058536650847,25623821,0.467686973884983,5.31132088336959e-21,1.77316404875569e-19,0.897381556959245,0.588323020308398,0.249578651685393,0.191163092917479,0.249578651685393,-0.0584155587679144,"Higher in TH1","pRPC","pRPC",7120,7695
"Fto","TH2",-0.626409053047593,25006161.5,0.456413428754992,5.95366194496822e-21,1.98035310096498e-19,3.7459620130093,3.11955295996171,0.673876404494382,0.621832358674464,0.673876404494382,-0.0520440458199181,"Higher in TH1","pRPC","pRPC",7120,7695
