"gene","group","log2FC_TH2_vs_TH1","statistic","auc","p_value","padj","mean_expression_TH1","mean_expression_TH2","pct_detected_TH1","pct_detected_TH2","max_pct_detected","delta_pct_detected_TH2_minus_TH1","direction","celltype_output_label","manual_celltype","n_cells_TH1","n_cells_TH2"
"Bola3","TH2",-0.0124986740490214,27248367,0.497338250432573,0.19730063746065,0.311646102221206,0.195866736281544,0.183368062232522,0.0703651685393258,0.0648473034437947,0.0703651685393258,-0.00551786509553116,"Not significant","pRPC","pRPC",7120,7695
"Rccd1","TH2",-0.00982835203239385,27156617.5,0.49566363500303,0.19719058758503,0.311646102221206,0.644244573797776,0.634416221765383,0.211938202247191,0.202858999350227,0.211938202247191,-0.0090792028969636,"Not significant","pRPC","pRPC",7120,7695
"Glg1","TH2",-0.0645189234169599,27076636,0.494203809565528,0.197506797539436,0.311863643931813,2.54732409612874,2.48280517271178,0.538342696629214,0.526705653021442,0.538342696629214,-0.0116370436077711,"Not significant","pRPC","pRPC",7120,7695
"Fra10ac1","TH2",-0.0354980634447414,27155853,0.495649681319403,0.197501248934859,0.311863643931813,0.719717220572582,0.684219157127841,0.213904494382022,0.205068226120858,0.213904494382022,-0.00883626826116476,"Not significant","pRPC","pRPC",7120,7695
"Nom1","TH2",0.0159870126508549,27623884.5,0.504192210394901,0.197653013469265,0.312040458125563,0.593065098461648,0.609052111112502,0.186095505617978,0.194931773879142,0.194931773879142,0.00883626826116476,"Not significant","pRPC","pRPC",7120,7695
"Acot7","TH2",-0.00795085001738927,27248950,0.497348891371166,0.197840201933121,0.312281884381444,0.194637384136818,0.186686534119429,0.0699438202247191,0.0644574398960364,0.0699438202247191,-0.0054863803286827,"Not significant","pRPC","pRPC",7120,7695
"Chd3","TH2",-0.0134981169305041,27203154,0.496513021004446,0.198095556414555,0.312630805396061,0.364210249558078,0.350712132627574,0.126825842696629,0.119688109161793,0.126825842696629,-0.00713773353483585,"Not significant","pRPC","pRPC",7120,7695
"Gng3","TH2",-0.0154597619157472,27246556.5,0.497305205116412,0.198334741379946,0.312954091574935,0.205033672300229,0.189573910384482,0.0724719101123596,0.067056530214425,0.0724719101123596,-0.0054153798979346,"Not significant","pRPC","pRPC",7120,7695
"Rap2a","TH2",0.023207073204247,27566801,0.50315032014076,0.198598556501616,0.313261897534739,0.280685094845117,0.303892168049364,0.0950842696629213,0.100974658869396,0.100974658869396,0.00589038920647438,"Not significant","pRPC","pRPC",7120,7695
"Nsun3","TH2",0.020249363373423,27567393,0.503161125347701,0.198581058808016,0.313261897534739,0.297455258065808,0.317704621439231,0.0956460674157303,0.101884340480832,0.101884340480832,0.00623827306510137,"Not significant","pRPC","pRPC",7120,7695
"Gmnn","TH2",-0.0340408672588834,27154148.5,0.495618570719349,0.198885475492262,0.313660187512801,0.717075614444477,0.683034747185593,0.21938202247191,0.210786224821313,0.21938202247191,-0.00859579765059756,"Not significant","pRPC","pRPC",7120,7695
"Sgo2a","TH2",-0.0432662305795251,27157687,0.495683155558476,0.198929633252512,0.313675549734152,0.714051432652413,0.670785202072888,0.21123595505618,0.202858999350227,0.21123595505618,-0.00837695570595237,"Not significant","pRPC","pRPC",7120,7695
"Gapvd1","TH2",0.070655740784507,27691670.5,0.505429443093794,0.199111346924288,0.313799207309002,1.65922297510364,1.72987871588814,0.405056179775281,0.412215724496426,0.412215724496426,0.00715954472114533,"Not significant","pRPC","pRPC",7120,7695
"Cstf2t","TH2",0.0221983884576492,27555439.5,0.502942949602471,0.199073170571728,0.313799207309002,0.22274782738554,0.244946215843189,0.0817415730337079,0.0873294346978558,0.0873294346978558,0.00558786166414789,"Not significant","pRPC","pRPC",7120,7695
"Rusc2","TH2",0.00764932051125755,27530070,0.502479904505333,0.199090080375823,0.313799207309002,0.165124135120551,0.172773455631809,0.0558988764044944,0.0609486679662118,0.0609486679662118,0.00504979156171744,"Not significant","pRPC","pRPC",7120,7695
"Mrps5","TH2",0.0170991533679448,27596683,0.503695727562769,0.199166149018733,0.313831307426821,0.415335144381127,0.432434297749072,0.137780898876404,0.145289148797921,0.145289148797921,0.00750824992151625,"Not significant","pRPC","pRPC",7120,7695
"Homer1","TH2",-0.0484269630993625,27188831.5,0.49625160617941,0.199329035715254,0.314033678739641,0.535530384154221,0.487103421054859,0.15,0.143469785575049,0.15,-0.00653021442495128,"Not significant","pRPC","pRPC",7120,7695
"Tarbp2","TH2",-0.0109478508778892,27229542,0.496994655803053,0.199676115278191,0.314526117290949,0.263105252762918,0.252157401885028,0.0922752808988764,0.0857699805068226,0.0922752808988764,-0.0065053003920538,"Not significant","pRPC","pRPC",7120,7695
"Zfp397","TH2",-0.0391292183586653,27131770,0.495210117470121,0.199798186600658,0.314664018088542,0.943591489440375,0.90446227108171,0.279775280898876,0.271085120207927,0.279775280898876,-0.00869016069094913,"Not significant","pRPC","pRPC",7120,7695
"Stk16","TH2",-0.0108763394883286,27253490.5,0.497431764753123,0.199949369841338,0.31484771194436,0.172635394970929,0.1617590554826,0.0660112359550562,0.0608187134502924,0.0660112359550562,-0.00519252250476378,"Not significant","pRPC","pRPC",7120,7695
"Mob1a","TH2",0.0133040711151238,27572549,0.50325523285951,0.200194456857315,0.315179181170766,0.301105814340116,0.31440988545524,0.102949438202247,0.109681611435997,0.109681611435997,0.00673217323375021,"Not significant","pRPC","pRPC",7120,7695
"Gm16794","TH2",-0.0180243695840976,27229529,0.496994418526549,0.20041475318139,0.315432676464032,0.268274850279751,0.250250480695653,0.0922752808988764,0.0864197530864197,0.0922752808988764,-0.00585552781245666,"Not significant","pRPC","pRPC",7120,7695
"Mgat4b","TH2",0.0144330495392973,27520943,0.502313318147637,0.200424690520431,0.315432676464032,0.139946152600888,0.154379202140185,0.0484550561797753,0.0530214424951267,0.0530214424951267,0.00456638631535142,"Not significant","pRPC","pRPC",7120,7695
"Bex1","TH2",-0.00651600419083553,27227481.5,0.496957047477203,0.200485941313375,0.315474597570804,0.275174059784369,0.268658055593533,0.0950842696629213,0.08862897985705,0.0950842696629213,-0.0064552898058713,"Not significant","pRPC","pRPC",7120,7695
"Grpel2","TH2",0.0140301819617815,27553582,0.502909046440487,0.200647427016835,0.315674201593549,0.229359670838274,0.243389852800056,0.0800561797752809,0.0860298895386615,0.0860298895386615,0.00597370976338057,"Not significant","pRPC","pRPC",7120,7695
"Tmem170b","TH2",0.0280074332868582,27603952,0.503828401632462,0.200830990957245,0.315908465927568,0.472665388850014,0.500672822136872,0.151404494382022,0.15906432748538,0.15906432748538,0.00765983310335766,"Not significant","pRPC","pRPC",7120,7695
"Npc2","TH2",0.0486780610047304,27697095.5,0.505528460404027,0.200973676987841,0.316023825408416,1.65555301350174,1.70423107450647,0.440449438202247,0.44990253411306,0.44990253411306,0.00945309591081323,"Not significant","pRPC","pRPC",7120,7695
"Sgsm2","TH2",-0.012202257244052,27264773.5,0.49763770250637,0.200948200469406,0.316023825408416,0.177734367910674,0.165532110666622,0.0557584269662921,0.0509421702404159,0.0557584269662921,-0.00481625672587628,"Not significant","pRPC","pRPC",7120,7695
"Aff4","TH2",0.0596109001125344,27692697.5,0.505448187937593,0.201053046568546,0.316039576824031,1.76115957212682,1.82077047223936,0.416573033707865,0.424821312540611,0.424821312540611,0.00824827883274559,"Not significant","pRPC","pRPC",7120,7695
"Wwc1","TH2",-0.0174635000216048,27257315.5,0.497501578801352,0.201039327210259,0.316039576824031,0.201517745513557,0.184054245491952,0.0626404494382023,0.0575698505523067,0.0626404494382023,-0.00507059888589556,"Not significant","pRPC","pRPC",7120,7695
"4933406I18Rik","TH2",-0.0328624221125686,27202626.5,0.496503393054004,0.201310065477089,0.316279940830579,0.516871470671109,0.48400904855854,0.129634831460674,0.122547108512021,0.129634831460674,-0.00708772294865335,"Not significant","pRPC","pRPC",7120,7695
"Atp6v1g1","TH2",-0.011711859204121,27188264.5,0.496241257273437,0.201299634857049,0.316279940830579,0.463620344509232,0.451908485305111,0.153089887640449,0.14541910331384,0.153089887640449,-0.00767078432660931,"Not significant","pRPC","pRPC",7120,7695
"Mtch1","TH2",0.00657297736785623,27604430,0.503837126106986,0.201272186262427,0.316279940830579,0.462764526214294,0.46933750358215,0.152106741573034,0.160753736192333,0.160753736192333,0.00864699461929896,"Not significant","pRPC","pRPC",7120,7695
"Mmab","TH2",0.0144469648904509,27535759,0.502583740353797,0.201458988988945,0.316459363261849,0.183098505215655,0.197545470106106,0.061938202247191,0.067056530214425,0.067056530214425,0.00511832796723394,"Not significant","pRPC","pRPC",7120,7695
