"cluster","sample_id","n_cells"
"C1","TH1",4223
"C1","TH2",4574
"C2","TH1",24
"C2","TH2",120
"C3","TH1",2714
"C3","TH2",2869
"C4","TH1",127
"C4","TH2",87
"C5","TH1",323
"C5","TH2",309
"C6","TH1",286
"C6","TH2",201
"C7","TH1",294
"C7","TH2",294
"C8","TH1",443
"C8","TH2",538
"C9","TH1",275
"C9","TH2",412
"C10","TH1",801
"C10","TH2",499
"C11","TH1",406
"C11","TH2",261
"C12","TH1",411
"C12","TH2",834
"C13","TH1",288
"C13","TH2",158
"C14","TH1",515
"C14","TH2",448
"C15","TH1",455
"C15","TH2",927
"C16","TH1",733
"C16","TH2",542
"C17","TH1",588
"C17","TH2",746
"C18","TH1",19
"C18","TH2",10
"C19","TH1",498
"C19","TH2",402
"C20","TH1",149
"C20","TH2",97
"C21","TH1",703
"C21","TH2",678
"C22","TH1",623
"C22","TH2",446
"C23","TH1",80
"C23","TH2",33
"C24","TH1",202
"C24","TH2",160
"C25","TH1",421
"C25","TH2",287
