"source_cluster","highres_cluster","n_cells"
"C1","C1",453
"C11","C10",9
"C17","C10",1
"C9","C10",1449
"C10","C11",1284
"C20","C11",1
"C11","C12",1585
"C9","C12",5
"C12","C13",2980
"C13","C13",2
"C12","C14",2507
"C13","C14",54
"C13","C15",1
"C14","C15",3
"C16","C15",164
"C12","C16",15
"C13","C16",5768
"C14","C16",226
"C22","C16",1
"C13","C17",19
"C14","C17",1846
"C19","C17",62
"C20","C17",2
"C22","C17",552
"C13","C18",2
"C14","C18",1153
"C16","C18",4
"C18","C19",983
"C1","C2",926
"C17","C2",1
"C18","C2",2
"C4","C2",1
"C9","C2",1
"C15","C20",1232
"C17","C21",455
"C20","C21",1
"C19","C22",1507
"C20","C22",1
"C9","C22",41
"C17","C23",1
"C18","C23",366
"C19","C23",300
"C20","C24",1775
"C9","C24",1
"C12","C25",1
"C21","C25",1277
"C22","C25",16
"C2","C3",249
"C1","C4",1
"C3","C4",416
"C1","C5",1
"C4","C5",401
"C5","C6",362
"C6","C7",708
"C7","C8",246
"C8","C9",113
