"source_cluster","highres_cluster","n_cells"
"C12","C1",4
"C13","C1",1
"C15","C1",3
"C16","C1",1
"C20","C1",111
"C21","C1",596
"C22","C1",6
"C21","C10",676
"C19","C11",1249
"C9","C11",1
"C15","C12",3
"C18","C12",374
"C19","C12",6
"C19","C13",203
"C9","C13",1430
"C19","C14",405
"C9","C14",57
"C10","C15",1283
"C11","C16",1594
"C9","C16",7
"C18","C17",968
"C1","C18",2
"C3","C18",415
"C4","C18",401
"C2","C19",249
"C3","C19",1
"C12","C2",5490
"C13","C2",69
"C20","C2",1
"C1","C20",453
"C1","C21",926
"C17","C21",1
"C18","C21",2
"C4","C21",1
"C5","C22",362
"C6","C23",708
"C7","C24",246
"C8","C25",113
"C13","C3",9
"C14","C3",4
"C16","C3",165
"C12","C4",9
"C13","C4",5739
"C14","C4",56
"C22","C4",1
"C13","C5",28
"C14","C5",3168
"C16","C5",2
"C19","C5",4
"C21","C5",5
"C22","C5",561
"C9","C5",1
"C15","C6",1
"C19","C6",1
"C20","C6",688
"C22","C6",1
"C9","C6",1
"C10","C7",1
"C20","C7",977
"C15","C8",1100
"C18","C8",7
"C15","C9",125
"C17","C9",457
"C19","C9",1
"C20","C9",3
