"cluster","sample_id","n_cells"
"C1","TH1",407
"C1","TH2",266
"C2","TH1",226
"C2","TH2",734
"C3","TH1",419
"C3","TH2",247
"C4","TH1",719
"C4","TH2",952
"C5","TH1",427
"C5","TH2",295
"C6","TH1",368
"C6","TH2",190
"C7","TH1",107
"C7","TH2",54
"C8","TH1",2716
"C8","TH2",2859
"C9","TH1",2917
"C9","TH2",2941
"C10","TH1",1356
"C10","TH2",1807
"C11","TH1",449
"C11","TH2",462
"C12","TH1",480
"C12","TH2",708
"C13","TH1",736
"C13","TH2",544
"C14","TH1",641
"C14","TH2",955
"C15","TH1",562
"C15","TH2",428
"C16","TH1",599
"C16","TH2",498
"C17","TH1",293
"C17","TH2",291
"C18","TH1",452
"C18","TH2",366
"C19","TH1",170
"C19","TH2",80
"C20","TH1",187
"C20","TH2",266
"C21","TH1",518
"C21","TH2",412
"C22","TH1",202
"C22","TH2",160
"C23","TH1",421
"C23","TH2",287
"C24","TH1",149
"C24","TH2",97
"C25","TH1",80
"C25","TH2",33
