"cluster","sample_id","n_cells"
"C1","TH1",178
"C1","TH2",225
"C2","TH1",99
"C2","TH2",193
"C3","TH1",175
"C3","TH2",214
"C4","TH1",125
"C4","TH2",211
"C5","TH1",67
"C5","TH2",56
"C6","TH1",119
"C6","TH2",118
