"source_cluster","highres_cluster","n_cells"
"C10","C1",1
"C17","C1",2
"C20","C1",975
"C17","C10",71
"C19","C10",1
"C20","C10",1
"C19","C11",615
"C9","C11",758
"C10","C12",1282
"C11","C12",8
"C9","C12",1
"C10","C13",1
"C11","C13",27
"C20","C13",1
"C9","C13",1
"C11","C14",238
"C17","C14",1
"C9","C14",736
"C11","C15",1321
"C17","C16",1
"C7","C16",246
"C1","C17",1206
"C4","C17",1
"C1","C18",2
"C2","C18",249
"C3","C18",416
"C4","C18",401
"C5","C19",362
"C6","C19",708
"C12","C2",5427
"C13","C2",31
"C21","C2",1
"C8","C20",113
"C18","C21",491
"C1","C22",171
"C17","C22",1
"C18","C22",494
"C15","C23",440
"C18","C23",9
"C21","C23",1
"C15","C24",658
"C1","C25",2
"C15","C25",132
"C17","C25",382
"C20","C25",1
"C12","C3",13
"C13","C3",22
"C14","C3",276
"C15","C3",2
"C19","C3",3
"C20","C3",802
"C21","C3",606
"C22","C3",564
"C9","C3",1
"C13","C4",43
"C14","C4",6
"C16","C4",168
"C18","C4",2
"C12","C5",63
"C13","C5",5577
"C14","C5",111
"C21","C5",1
"C22","C5",5
"C13","C6",173
"C14","C6",2835
"C21","C7",668
"C19","C8",1246
"C18","C9",355
"C19","C9",4
