"cluster","sample_id","n_cells"
"C1","TH1",503
"C1","TH2",406
"C2","TH1",605
"C2","TH2",502
"C3","TH1",294
"C3","TH2",293
"C4","TH1",452
"C4","TH2",366
"C5","TH1",170
"C5","TH2",80
"C6","TH1",187
"C6","TH2",266
"C7","TH1",515
"C7","TH2",412
"C8","TH1",202
"C8","TH2",160
"C9","TH1",421
"C9","TH2",287
"C10","TH1",149
"C10","TH2",97
"C11","TH1",80
"C11","TH2",34
"C12","TH1",518
"C12","TH2",633
"C13","TH1",736
"C13","TH2",544
"C14","TH1",443
"C14","TH2",720
"C15","TH1",612
"C15","TH2",767
"C16","TH1",2702
"C16","TH2",2859
"C17","TH1",128
"C17","TH2",86
"C18","TH1",2878
"C18","TH2",2899
"C19","TH1",1387
"C19","TH2",1812
"C20","TH1",720
"C20","TH2",953
"C21","TH1",487
"C21","TH2",312
"C22","TH1",309
"C22","TH2",181
"C23","TH1",406
"C23","TH2",262
"C24","TH1",411
"C24","TH2",841
"C25","TH1",286
"C25","TH2",160
