"cluster","sample_id","n_cells"
"C1","TH1",58
"C1","TH2",97
"C2","TH1",117
"C2","TH2",133
"C3","TH1",90
"C3","TH2",159
"C4","TH1",117
"C4","TH2",128
"C5","TH1",67
"C5","TH2",106
"C6","TH1",30
"C6","TH2",40
"C7","TH1",68
"C7","TH2",67
"C8","TH1",94
"C8","TH2",75
"C9","TH1",8
"C9","TH2",8
"C10","TH1",28
"C10","TH2",55
"C11","TH1",86
"C11","TH2",149
