"source_cluster","highres_cluster","n_cells"
"C13","C1",10
"C14","C1",4
"C16","C1",163
"C21","C10",659
"C19","C11",1251
"C22","C11",2
"C15","C12",3
"C18","C12",367
"C19","C12",4
"C19","C13",611
"C9","C13",339
"C11","C14",2
"C9","C14",1152
"C10","C15",1280
"C9","C15",1
"C11","C16",1592
"C9","C16",4
"C15","C17",6
"C17","C17",1
"C18","C17",982
"C1","C18",2
"C3","C18",415
"C4","C18",401
"C2","C19",249
"C3","C19",1
"C12","C2",5497
"C13","C2",87
"C1","C20",453
"C1","C21",926
"C17","C21",1
"C18","C21",2
"C4","C21",1
"C5","C22",362
"C6","C23",708
"C7","C24",246
"C8","C25",113
"C12","C3",3
"C13","C3",5690
"C14","C3",70
"C13","C4",48
"C14","C4",3154
"C16","C4",4
"C22","C4",49
"C10","C5",4
"C20","C5",986
"C13","C6",1
"C15","C6",1
"C19","C6",2
"C20","C6",686
"C9","C6",1
"C15","C7",1095
"C15","C8",125
"C17","C8",456
"C19","C8",1
"C20","C8",3
"C12","C9",3
"C13","C9",10
"C15","C9",2
"C16","C9",1
"C20","C9",105
"C21","C9",618
"C22","C9",518
