"cluster","sample_id","n_cells"
"C1","TH1",8
"C1","TH2",8
"C2","TH1",37
"C2","TH2",48
"C3","TH1",62
"C3","TH2",57
"C4","TH1",87
"C4","TH2",68
"C5","TH1",79
"C5","TH2",84
"C6","TH1",63
"C6","TH2",80
"C7","TH1",26
"C7","TH2",53
"C8","TH1",72
"C8","TH2",130
"C9","TH1",38
"C9","TH2",68
"C10","TH1",112
"C10","TH2",94
"C11","TH1",11
"C11","TH2",100
"C12","TH1",48
"C12","TH2",79
"C13","TH1",75
"C13","TH2",146
"C14","TH1",45
"C14","TH2",2
