"cluster","sample_id","n_cells"
"C1","TH1",108
"C1","TH2",69
"C2","TH1",2724
"C2","TH2",2860
"C3","TH1",2867
"C3","TH2",2896
"C4","TH1",1402
"C4","TH2",1853
"C5","TH1",448
"C5","TH2",542
"C6","TH1",274
"C6","TH2",417
"C7","TH1",600
"C7","TH2",495
"C8","TH1",294
"C8","TH2",291
"C9","TH1",789
"C9","TH2",468
"C10","TH1",401
"C10","TH2",258
"C11","TH1",416
"C11","TH2",837
"C12","TH1",229
"C12","TH2",145
"C13","TH1",484
"C13","TH2",466
"C14","TH1",447
"C14","TH2",707
"C15","TH1",736
"C15","TH2",545
"C16","TH1",641
"C16","TH2",955
"C17","TH1",562
"C17","TH2",427
"C18","TH1",452
"C18","TH2",366
"C19","TH1",170
"C19","TH2",80
"C20","TH1",187
"C20","TH2",266
"C21","TH1",518
"C21","TH2",412
"C22","TH1",202
"C22","TH2",160
"C23","TH1",421
"C23","TH2",287
"C24","TH1",149
"C24","TH2",97
"C25","TH1",80
"C25","TH2",33
