"cluster","sample_id","n_cells"
"C1","TH1",429
"C1","TH2",293
"C2","TH1",2708
"C2","TH2",2852
"C3","TH1",107
"C3","TH2",71
"C4","TH1",2874
"C4","TH2",2931
"C5","TH1",1768
"C5","TH2",2001
"C6","TH1",275
"C6","TH2",417
"C7","TH1",441
"C7","TH2",537
"C8","TH1",606
"C8","TH2",501
"C9","TH1",294
"C9","TH2",292
"C10","TH1",412
"C10","TH2",264
"C11","TH1",419
"C11","TH2",831
"C12","TH1",234
"C12","TH2",149
"C13","TH1",916
"C13","TH2",717
"C14","TH1",9
"C14","TH2",453
"C15","TH1",737
"C15","TH2",546
"C16","TH1",644
"C16","TH2",957
"C17","TH1",549
"C17","TH2",419
"C18","TH1",452
"C18","TH2",366
"C19","TH1",170
"C19","TH2",80
"C20","TH1",187
"C20","TH2",266
"C21","TH1",518
"C21","TH2",412
"C22","TH1",202
"C22","TH2",160
"C23","TH1",421
"C23","TH2",287
"C24","TH1",149
"C24","TH2",97
"C25","TH1",80
"C25","TH2",33
