"source_cluster","highres_cluster","n_cells"
"C12","C1",7
"C13","C1",5554
"C14","C1",3216
"C16","C1",2
"C22","C1",18
"C12","C10",13
"C13","C10",11
"C15","C10",2
"C16","C10",1
"C19","C10",1
"C20","C10",115
"C21","C10",609
"C22","C10",548
"C21","C11",667
"C19","C12",1245
"C18","C13",437
"C19","C13",9
"C19","C14",611
"C9","C14",352
"C10","C15",6
"C11","C15",232
"C17","C15",1
"C9","C15",1143
"C10","C16",1274
"C11","C16",1
"C11","C17",1334
"C10","C18",1
"C11","C18",27
"C20","C18",1
"C18","C19",900
"C13","C2",138
"C14","C2",6
"C7","C20",246
"C1","C21",1379
"C18","C21",2
"C1","C22",2
"C2","C22",249
"C3","C22",416
"C4","C22",402
"C8","C23",113
"C5","C24",362
"C6","C25",708
"C12","C3",5483
"C13","C3",100
"C13","C4",42
"C14","C4",6
"C16","C4",165
"C9","C4",1
"C15","C5",632
"C15","C6",476
"C18","C6",10
"C21","C6",1
"C15","C7",122
"C17","C7",455
"C18","C7",2
"C19","C7",1
"C20","C7",8
"C10","C8",3
"C17","C8",2
"C20","C8",976
"C13","C9",1
"C19","C9",2
"C20","C9",680
"C22","C9",3
"C9","C9",1
