"cluster","sample_id","n_cells"
"C1","TH1",175
"C1","TH2",79
"C2","TH1",254
"C2","TH2",158
"C3","TH1",181
"C3","TH2",205
"C4","TH1",195
"C4","TH2",274
"C5","TH1",513
"C5","TH2",396
"C6","TH1",80
"C6","TH2",33
"C7","TH1",149
"C7","TH2",96
"C8","TH1",195
"C8","TH2",148
"C9","TH1",427
"C9","TH2",299
"C10","TH1",713
"C10","TH2",740
"C11","TH1",726
"C11","TH2",543
"C12","TH1",646
"C12","TH2",970
"C13","TH1",85
"C13","TH2",56
"C14","TH1",320
"C14","TH2",297
"C15","TH1",2726
"C15","TH2",2866
"C16","TH1",2811
"C16","TH2",2944
"C17","TH1",1154
"C17","TH2",1511
"C18","TH1",581
"C18","TH2",429
"C19","TH1",208
"C19","TH2",147
"C20","TH1",225
"C20","TH2",409
"C21","TH1",418
"C21","TH2",858
"C22","TH1",405
"C22","TH2",263
"C23","TH1",277
"C23","TH2",409
"C24","TH1",419
"C24","TH2",301
"C25","TH1",377
"C25","TH2",171
