"current_cluster","review_cluster","n_cells","resolution"
"C1","C1",1455,1.2
"C3","C1",5,1.2
"C9","C10",245,1.2
"C10","C11",343,1.2
"C11","C12",726,1.2
"C12","C13",134,1.2
"C13","C13",2305,1.2
"C18","C13",2,1.2
"C12","C14",3226,1.2
"C15","C14",14,1.2
"C12","C15",31,1.2
"C14","C15",708,1.2
"C15","C15",2,1.2
"C16","C15",16,1.2
"C12","C16",10,1.2
"C15","C16",5577,1.2
"C16","C16",13,1.2
"C19","C16",1,1.2
"C15","C17",15,1.2
"C16","C17",2742,1.2
"C19","C17",1,1.2
"C1","C18",224,1.2
"C21","C18",5,1.2
"C16","C19",3,1.2
"C19","C19",1,1.2
"C21","C19",1366,1.2
"C6","C19",2,1.2
"C2","C2",1269,1.2
"C20","C20",683,1.2
"C21","C20",1,1.2
"C12","C21",16,1.2
"C15","C21",1,1.2
"C16","C21",2,1.2
"C18","C21",696,1.2
"C19","C21",526,1.2
"C20","C21",8,1.2
"C18","C22",659,1.2
"C17","C23",338,1.2
"C20","C23",1,1.2
"C21","C23",307,1.2
"C3","C3",1616,1.2
"C17","C4",1024,1.2
"C4","C4",57,1.2
"C4","C5",1319,1.2
"C5","C6",414,1.2
"C6","C7",254,1.2
"C7","C8",386,1.2
"C8","C9",113,1.2
